Type,YIndex,TrainTime,TestTime,NumTrain,NumTest,StartIndex,BatchSize,Epochs,LR,TrainLoss,TestLoss
QuantumSequenceCircuit,0,18.686,0.967,200,50,100,25,10,0.005,Autograd ArrayBox with value 0.030886114970226433,0.02583
QuantumSequenceCircuit,0,17.954,0.935,800,50,100,25,10,0.005,Autograd ArrayBox with value 0.014847080961128722,0.01454
QuantumSequenceCircuit,0,18.061,0.932,800,50,100,10,25,0.005,Autograd ArrayBox with value 0.038171254252911554,0.01449
QuantumSequenceCircuit,0,18.44,0.954,800,50,100,10,25,0.005,Autograd ArrayBox with value 0.012384451599082861,0.01453
QuantumSequenceCircuit,0,18.329,0.951,800,50,100,10,25,0.005,Autograd ArrayBox with value 0.08656635629519126,0.01413
QuantumSequenceCircuit,0,18.254,0.95,800,50,100,10,25,0.005,Autograd ArrayBox with value 0.028676720108495625,0.01431
QuantumSequenceCircuit,0,18.084,0.939,800,50,100,10,25,0.005,Autograd ArrayBox with value 0.018824012257838967,0.01449
QuantumSequenceCircuit,0,17.093,0.915,800,50,100,10,25,0.005,Autograd ArrayBox with value 0.019905850251064235,0.01591
QuantumSequenceCircuit,0,16.206,0.909,800,50,100,10,25,0.005,Autograd ArrayBox with value 0.004432462089348279,0.01899
QuantumSequenceCircuit,0,179.145,0.931,800,50,100,10,250,0.005,Autograd ArrayBox with value 0.03717118572525364,0.01628
QuantumSequenceCircuit,0,10.431,0.533,800,50,100,10,25,0.005,Autograd ArrayBox with value 0.027011487383037353,0.01519
QuantumSequenceCircuit,0,6.542,0.354,800,50,100,10,25,0.005,Autograd ArrayBox with value 0.023528060235964408,0.03426
QuantumSequenceCircuit,0,7.764,0.436,800,50,100,10,25,0.005,Autograd ArrayBox with value 0.23257683123717982,0.03158
QuantumSequenceCircuit,0,9.878,0.578,800,50,100,10,25,0.005,Autograd ArrayBox with value 0.09528774467328244,0.03137
QuantumSequenceCircuit,0,20.104,0.569,800,50,100,10,50,0.005,Autograd ArrayBox with value 0.07070562476077327,0.02772
QuantumSequenceCircuit,0,39.745,0.575,800,50,100,10,100,0.005,Autograd ArrayBox with value 0.11088529229873126,0.02317
QuantumSequenceCircuit,0,31.809,0.571,800,50,100,10,80,0.005,Autograd ArrayBox with value 0.004465817126223198,0.0252
CNN+Quantum,0,39.723,0.09,800,50,100,10,80,0.005,0.10630766,0.024273932
QuantumSequenceCircuit,0,32.912,0.604,800,50,100,10,80,0.005,Autograd ArrayBox with value 0.05538773282403999,0.02304
CNN,0,0.132,0.001,800,50,100,10,80,0.005,0.5357093,0.7966854
QuantumSequenceCircuit,0,32.609,0.586,800,50,100,10,80,0.005,Autograd ArrayBox with value 0.21500027139159522,0.02973
CNN,0,1.202,0.001,800,50,100,10,800,0.005,245822180.0,273819700.0
CNN,0,0.139,0.001,800,50,100,10,80,0.005,1902138800.0,29811565000.0
CNN,0,11.639,0.001,800,50,100,10,8000,0.005,473.00592,71551.92
CNN,0,15.851,0.003,1200,400,100,25,8000,0.005,0.028740304,3.0542712
CNN+Quantum,0,1257.064,0.812,1200,400,100,25,1000,0.005,0.0033870414,0.0001205842
CNN,0,0.453,0.004,1200,400,100,25,100,0.005,74436400.0,6777316000.0
CNN,0,0.02,0.001,12,3,100,3,4,0.005,1374315.4,14090019.0
CNN,0,0.02,0.001,12,3,100,3,4,0.005,474341.28,1144914.4
CNN,0,0.017,0.001,12,3,100,3,4,0.005,24481690.0,95090330.0
CNN,0,0.02,0.001,12,3,100,3,4,0.005,2590358.2,16639109.0
CNN,0,0.015,0.001,12,3,100,3,4,0.005,17497110.0,343844960.0
CNN,0,0.026,0.002,12,3,100,3,4,0.005,120982.875,5015782.5
CNN,0,0.015,0.001,12,3,100,3,4,0.005,952082200.0,2420518700.0
CNN,0,0.015,0.001,12,3,100,3,4,0.005,512169380.0,1055702700.0
CNN,0,13.322,0.003,1200,400,0,25,5000,0.005,4061813800.0,403039450000.0
CNN,0,0.014,0.001,12,3,100,3,4,0.005,1135077500.0,2752500700.0
CNN,0,0.016,0.002,12,3,100,3,4,0.005,1968981100.0,5333680600.0
CNN,0,0.016,0.001,12,3,100,3,4,0.005,81567850.0,33721170.0
CNN,0,0.014,0.001,12,3,100,3,4,0.005,345802900.0,1397836300.0
CNN,0,0.015,0.001,12,3,100,3,4,0.005,54751356.0,197662420.0
CNN,0,0.013,0.001,12,3,100,3,4,0.005,2011729500.0,2936291300.0
CNN,0,12.968,0.003,1200,400,0,25,5000,0.005,19.837097,473.71704
CNN,0,12.551,0.004,1200,400,0,25,5000,0.005,0.0021030107,0.0006029342
QuantumSequenceCircuit,0,9.914,0.564,800,50,100,10,25,0.005,Autograd ArrayBox with value 0.00429353428790274,0.02232
CNN,0,0.066,0.003,800,50,100,10,25,0.005,0.013673407,0.009173682
CNN,0,0.045,0.001,800,25,100,10,25,0.005,0.0066822493,0.054413356
QuantumSequenceCircuit,0,10.109,0.284,800,25,100,10,25,0.005,Autograd ArrayBox with value 0.0073036511668552045,0.02825
CNN+Quantum,0,126.682,0.114,800,25,100,10,25,0.005,0.0017277409,0.040005498
CNN,0,2.38,0.001,800,25,100,10,1000,0.005,0.00086562446,0.030615427
CNN,0,2.871,0.001,800,25,100,10,1000,0.005,0.0063262796,0.025905393
CNN,0,2.981,0.001,800,25,100,10,1000,0.005,0.0010068992,0.022421079
CNN,0,2.878,0.001,800,25,100,10,1000,0.005,0.00094222435,0.03067279
CNN,0,2.828,0.001,80,20,100,10,1000,0.005,3.7842656e-07,0.00014894607
CNN,0,2.697,0.001,800,50,0,10,1000,0.005,0.0004323051,0.0032265678
QuantumSequenceCircuit,0,258.321,0.247,800,25,100,10,25,0.005,Autograd ArrayBox with value [0.01192945],0.02196
QuantumSequenceCircuit,0,19.613,0.238,800,25,100,10,2,0.005,Autograd ArrayBox with value [0.01160093],0.02606
QuantumSequenceCircuit,0,19.665,0.229,800,25,100,10,2,0.005,Autograd ArrayBox with value [0.00784487],0.02063
QuantumSequenceCircuit,0,18.666,0.231,800,25,100,10,2,0.005,Autograd ArrayBox with value [0.02491677],0.01722
CNN,0,2.721,0.003,800,50,0,10,1000,0.005,0.0011047698,0.0016269695
CNN+Quantum,0,0.336,0.775,800,50,0,10,1,0.005,0.010042039,0.0049480917
CNN+Quantum,0,13059.745,0.147,800,25,100,10,1000,0.005,0.00080948445,0.028843082
CNN,0,0.012,0.001,12,3,100,3,4,0.005,0.036631774,0.012194671
CNN,0,0.021,0.002,12,3,100,3,4,0.005,0.16384488,0.13708587
CNN,0,0.013,0.001,12,3,100,3,4,0.005,0.015057404,0.02925443
CNN,0,0.012,0.001,12,3,100,3,4,0.005,0.06707123,0.21907084
CNN,0,0.012,0.0,12,3,100,3,4,0.005,0.29846847,0.12677358
QuantumSequenceCircuit,0,40.828,0.048,12,3,100,3,4,0.005,Autograd ArrayBox with value [0.00242543],0.01975
CNN,0,0.012,0.001,12,3,100,3,4,0.005,0.15882368,0.38287282
QuantumSequenceCircuit,0,34.949,0.047,12,3,100,3,4,0.005,Autograd ArrayBox with value [0.05817309],0.0104
CNN,0,0.012,0.001,12,3,100,3,4,0.005,0.0015587471,0.027301103
QuantumSequenceCircuit,0,41.225,0.047,12,3,100,3,4,0.005,Autograd ArrayBox with value [0.02119973],0.0072
