ID, Type,YIndex,TrainTime,TestTime,NumTrain,NumTest,StartIndex,BatchSize,Epochs,LR,TrainLoss,TestLoss,NumLayersQSeq,ConvLayers,CNNQuantum,YTest,YPred
3CVW,CNN_Quantum,0,0.209,0.222,20,10,0,5,1,0.005,0.028651228,0.013186666,5,"[64, 32]",True,,
wQfL,QuantumSequenceCircuit,0,8.99,0.096,20,10,0,5,1,0.005,Autograd ArrayBox with value [0.0092523],0.00546,2,,,
59gU,CNN,0,42.978,0.002,100,50,200,10,10000,0.005,4.1371786e-07,1.5290475e-06,5,"[64, 32]",False,,
NrN4,CNN,0,4.093,0.002,100,50,200,10,1000,0.005,9.924763e-06,3.147086e-05,5,"[64, 32]",False,,
bD5J,CNN,0,3.989,0.002,100,50,200,10,1000,0.005,8.8402594e-08,6.368987e-07,5,"[64, 32]",False,,
pO7q,CNN,0,4.069,0.008,100,50,200,10,1000,0.005,3.9501683e-07,2.4013948e-06,5,"[64, 32]",False,,
NETJ,CNN,0,3.724,0.002,100,50,500,5,1000,0.005,4.54947e-06,0.00012153629,5,"[64, 32]",False,,
miVt,CNN_Quantum,0,152.611,0.833,100,50,500,5,1000,0.005,1.8546642e-05,0.00013804797,5,"[64, 32]",True,,
l5SL,QuantumSequenceCircuit,0,395.172,0.352,100,50,500,5,100,0.005,Autograd ArrayBox with value [0.00200794],0.00123,2,,,
OR2S,CNN,0,4.64,0.029,100,50,700,5,1000,0.005,4.591669e-05,0.00029688593,5,"[64, 32]",False,,
s7ZK,CNN_Quantum,0,159.023,0.87,100,50,700,5,1000,0.005,3.1743897e-05,0.00035047223,5,"[64, 32]",True,,
AxnI,QuantumSequenceCircuit,0,393.686,0.326,100,50,700,5,100,0.005,Autograd ArrayBox with value [0.0016404],0.00189,2,,,
bZcV,CNN,0,4.149,0.002,50,25,1200,5,1000,0.005,1.0641368e-06,0.00024124286,5,"[64, 32]",False,,
bRVq,CNN_Quantum,0,157.144,0.423,50,25,1200,5,1000,0.005,1.2759835e-06,2.5972127e-05,5,"[64, 32]",True,,
byGd,CNN,0,4.175,0.001,50,25,200,5,1000,0.005,1.4124814e-07,3.134036e-06,5,"[64, 32]",False,,
3c5F,QuantumSequenceCircuit,0,2714.687,0.438,50,25,1200,5,100,0.005,Autograd ArrayBox with value [0.00342062],0.00389,2,,,
xoqZ,CNN,0,4.689,0.002,100,50,200,5,1000,0.005,9.972093e-07,1.1226312e-05,5,"[128, 64]",False,,
jrPr,CNN_Quantum,0,154.525,0.858,100,50,200,5,1000,0.005,1.2958603e-07,9.491962e-07,5,"[128, 64]",True,,
2xYW,CNN,0,3.217,0.002,100,50,1400,5,1000,0.005,1.0971451e-05,6.784106e-05,5,"[128, 64]",False,,
K7dL,CNN_Quantum,0,157.303,0.847,100,50,1400,5,1000,0.005,3.6983638e-05,0.00013806084,5,"[128, 64]",True,,
DK1x,CNN,0,3.115,0.002,100,50,1800,5,1000,0.005,nan,nan,5,"[128, 64]",False,,
NyZP,CNN_Quantum,0,150.675,0.813,100,50,1800,5,1000,0.005,nan,nan,5,"[128, 64]",True,,
HydS,CNN,0,2.987,0.002,100,50,1700,5,1000,0.005,nan,nan,5,"[128, 64]",False,,
qaYS,CNN,0,3.386,0.011,100,50,1500,5,1000,0.005,4.9813607e-06,0.00011545992,5,"[128, 64]",False,,
GXZ3,CNN_Quantum,0,158.469,0.884,100,50,1500,5,1000,0.005,1.4339545e-05,5.496406e-05,5,"[128, 64]",True,,
